time	real(VinPA[1])
2.72000000000000064E-7	-3.40516535693764943E-1
2.72500000000000009E-7	-3.57004997878984431E-1
2.73000000000000043E-7	-3.52743179563608500E-1
2.73499999999999943E-7	-3.28529176973360570E-1
2.74000000000000021E-7	-2.86368070984115608E-1
2.74500000000000011E-7	-2.29250768085670442E-1
2.74999999999999956E-7	-1.60872844873882537E-1
2.75499999999999989E-7	-8.53229888291374294E-2
2.76000000000000023E-7	-6.77139746524453212E-3
2.76500000000000012E-7	7.08140598532616394E-2
2.76999999999999957E-7	1.43901504046412354E-1
2.77500000000000036E-7	2.09563530188137648E-1
2.78000000000000025E-7	2.65573927772577756E-1
2.78499999999999970E-7	3.10434397229721837E-1
2.79000000000000004E-7	3.43340296679858170E-1
2.79500000000000037E-7	3.64099858964820111E-1
2.80000000000000027E-7	3.73058331499386098E-1
2.80500000000000016E-7	3.70867907405066655E-1
2.81000000000000050E-7	3.58484055372665589E-1
2.81500000000000039E-7	3.37032548343488569E-1
2.82000000000000028E-7	3.07736386237542670E-1
2.82500000000000018E-7	2.71869366699996018E-1
2.83000000000000007E-7	2.30733627067726843E-1
2.83499999999999996E-7	1.85654741317745176E-1
2.83999999999999897E-7	1.37985727413298154E-1
2.84500000000000020E-7	8.91166835010450242E-2
2.85000000000000053E-7	4.04614552087546553E-2
2.85500000000000087E-7	-6.51062390345648900E-3
2.85999999999999988E-7	-5.04213358419092472E-2
2.86500000000000110E-7	-8.99785928660296008E-2
2.86999999999999966E-7	-1.24033021564973134E-1
2.87500000000000000E-7	-1.51636639549184293E-1
2.88000000000000034E-7	-1.72096287087228594E-1
2.88500000000000023E-7	-1.85014761291474539E-1
2.89000000000000057E-7	-1.90313987389438832E-1
2.89499999999999957E-7	-1.88242667561062804E-1
2.89999999999999991E-7	-1.79364078676746663E-1
2.90499999999999980E-7	-1.64511037583090070E-1
2.91000000000000014E-7	-1.44673407773117768E-1
2.91500000000000048E-7	-1.20968626489885733E-1
2.91999999999999993E-7	-9.45750085664782070E-2
2.92500000000000027E-7	-6.66689956662431626E-2
2.93000000000000060E-7	-3.83708095052581122E-2
2.93499999999999961E-7	-1.07011588910733169E-2
2.94000000000000039E-7	1.54502763435309221E-2
2.94499999999999984E-7	3.93455539601067361E-2
2.95000000000000107E-7	6.04274986412600512E-2
2.95500000000000007E-7	7.82711087293571417E-2
2.96000000000000041E-7	9.26419310290158293E-2
