time	imag(VinPA[1])
3.75500000000000078E-7	8.03919606083675120E-2
3.75999999999999979E-7	9.78561129756989700E-2
3.76500000000000101E-7	1.07198140605874648E-1
3.77000000000000002E-7	1.07662235425393993E-1
3.77499999999999991E-7	9.92569078059666943E-2
3.78000000000000025E-7	8.27424838580189892E-2
3.78499999999999925E-7	5.95460617528714931E-2
3.79000000000000004E-7	3.16135849378819422E-2
3.79500000000000082E-7	1.20279742591114713E-3
3.80000000000000071E-7	-2.94069546415142913E-2
3.80500000000000016E-7	-5.79704801198533026E-2
3.81000000000000005E-7	-8.25447939895415672E-2
3.81499999999999950E-7	-1.01686327242188823E-1
3.82000000000000028E-7	-1.14579928248587559E-1
3.82500000000000062E-7	-1.21105288883575768E-1
3.83000000000000052E-7	-1.21834718204071790E-1
3.83499999999999952E-7	-1.17962729783574338E-1
3.83999999999999986E-7	-1.11174418934518093E-1
3.84500000000000064E-7	-1.03453705154935327E-1
3.85000000000000009E-7	-9.67711294355328278E-2
3.85499999999999998E-7	-9.31443394462717933E-2
3.86000000000000121E-7	-9.42594240433521691E-2
3.86500000000000066E-7	-1.01304739006089850E-1
3.87000000000000099E-7	-1.14834247867827166E-1
3.87500000000000000E-7	-1.34692282501479155E-1
3.87999999999999989E-7	-1.60008275233864161E-1
3.88500000000000023E-7	-1.89263379183800562E-1
3.88999999999999968E-7	-2.20423892390835885E-1
3.89500000000000135E-7	-2.51123809961679001E-1
3.90000000000000036E-7	-2.78865532068957478E-1
3.90500000000000025E-7	-3.01320452272690709E-1
3.91000000000000014E-7	-3.16562144480571295E-1
3.91500000000000092E-7	-3.23247808844752882E-1
3.91999999999999993E-7	-3.20762706705553802E-1
3.92499999999999982E-7	-3.09294012214455583E-1
3.93000000000000016E-7	-2.89825021960505591E-1
