time	imag(VoutPA[1])
3.10499999999999998E-7	-6.58242299209230097E-2
3.11000000000000032E-7	-5.78757772238467005E-2
3.11500000000000021E-7	-5.19256116488262798E-2
3.12000000000000055E-7	-4.82376915674853368E-2
3.12500000000000000E-7	-4.70443081260620577E-2
3.12999999999999989E-7	-4.85752907684546198E-2
3.13499999999999979E-7	-5.30790556467584995E-2
3.14000000000000057E-7	-6.08137732247067575E-2
3.14500000000000046E-7	-7.19937727214097212E-2
3.14999999999999991E-7	-8.66722488027953908E-2
3.15500000000000025E-7	-1.04492608193622671E-1
3.16000000000000059E-7	-1.24405648942927027E-1
